ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,Last Service Approval Transfer Date,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Other,Annual Monday Start Time,Annual Monday End Time,Annual Tuesday Start Time,Annual Tuesday End Time,Annual Wednesday Start Time,Annual Wednesday End Time,Annual Thursday Start Time,Annual Thursday End Time,Annual Friday Start Time,Annual Friday End Time,Annual Saturday Start Time,Annual Saturday End Time,Annual Sunday Start Time,Annual Sunday End Time,School Terms Only Session 1 Monday Start Time,School Terms Only Session 1 Monday End Time,School Terms Only Session 1 Tuesday Start Time,School Terms Only Session 1 Tuesday End Time,School Terms Only Session1 Wednesday Start Time,School Terms Only Session1 Wednesday End Time,School Terms Only Session1 Thursday Start Time,School Terms Only Session1 Thursday End Time,School Terms Only Session 1 Friday Start Time,School Terms Only Session 1 Friday End Time,School Terms Only Session 1 Saturday Start Time,School Terms Only Session 1 Saturday End Time,School Terms Only Session1 Sunday Start Time,School Terms Only Session 1 Sunday End Time,School Terms Only Session 2 Monday Start Time,School Terms Only Session 2 Monday End Time,School Terms Only Session 2 Tuesday Start Time,School Terms Only Session 2 Tuesday End Time,School Terms Only Session 2 Wednesday Start Time,School Terms Only Session 2 Wednesday End Time,School Terms Only Session 2 Thursday Start Time,School Terms Only Session2 Thursday End Time,School Terms Only Session 2 Friday Start Time,School Terms Only Session 2 Friday End Time,School Terms Only Session 2 Saturday Start Time,School Terms Only Session 2 Saturday End Time,School Terms Only Session 2 Sunday Start Time,School Terms Only Session 2 Sunday End Time,Holiday Care Monday Start Time,Holiday Care Monday End Time,Holiday Care Tuesday Start Time,Holiday Care Tuesday End Time,Holiday Care Wednesday Start Time,Holiday Care Wednesday End Time,Holiday Care Thursday Start Time,Holiday Care Thursday End Time,Holiday Care Friday Start Time,Holiday Care Friday End Time,Holiday Care Saturday Start Time,Holiday Care Saturday End Time,Holiday Care Sunday Start Time,Holiday Care Sunday End Time,Temporarily Closed
SE-00003561,PR-00001500,Elsa Macleod Kindergarten,Elsa Macleod Kindergarten Inc,Centre-Based Care,60 Henty Street,PORTLAND,VIC,3305,355232680,355232680,elsa.macleod.kin@kindergarten.vic.gov.au,,29,1/01/2012,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Aug-14,,,,,,,,,,,No,No,Yes,No,No,No,No,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003562,PR-00002109,Jaycee Kindergarten,Glenelg Shire Council,Centre-Based Care,68 Wellington Road,PORTLAND,VIC,3305,355222559,355222290,jayceekindergarten@glenelg.vic.gov.au,,28,1/01/2012,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May-17,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Dec-12,22/04/2014,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:00,12:00,8:00,16:30,8:00,16:30,8:00,16:30,8:00,16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003564,PR-40022223,Heywood Early Learning Centre,HELC PTY LTD,Centre-Based Care,39 Hunter Street,HEYWOOD,VIC,3304,355271118,355272201,jorgie72@bigpond.com.au,"As this service is listed on the Department of Education & Training Bushfire At-Risk Register, the approved provider must ensure that:
a.         the service does not operate on any day the Victorian Emergency Management Commissioner declares day of a ‘Code Red’ Fire Danger Rating that applies to the location in which that service is located; and
b.         the service’s emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan (EMP) for managing the service’s bush-fire related risks.
c.         the Emergency Management Plan (EMP) is kept up to date, reflects the service’s operating context and includes:
                       i.             a list of the service’s emergency contact details;
                      ii.             procedures for monitoring and managing bushfire risks and events;
                     iii.             procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service;
                     iv.             procedures for notifying families of children enrolled at the service of any closure;
                      v.             procedures for reviewing and updating the Emergency Management Plan (EMP).
d.         the Emergency Management Plan (EMP) is reviewed and updated as necessary at least once each calendar year.
e.         by 1 September of each year, a copy of the service’s Emergency Management Plan (EMP) is submitted to the Regulatory Authority through the National Quality Agenda Information Technology System (NQA ITS) public portal.",28,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-18,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-13,30/03/2020,Yes,No,No,No,No,No,No,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003565,PR-00002109,Dartmoor Children's Centre,Glenelg Shire Council,Centre-Based Care,Lang Street,DARTMOOR,VIC,3304,355281227,355281227,dartmoorkinder@glenelg.vic.gov.au,"As this service is listed on the Department of Education & Training Bushfire At-Risk Register, the approved provider must ensure that:
a.         the service does not operate on any day the Victorian Emergency Management Commissioner declares day of a ‘Code Red’ Fire Danger Rating that applies to the location in which that service is located; and
b.         the service’s emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan (EMP) for managing the service’s bush-fire related risks.
c.         the Emergency Management Plan (EMP) is kept up to date, reflects the service’s operating context and includes:
                       i.             a list of the service’s emergency contact details;
                      ii.             procedures for monitoring and managing bushfire risks and events;
                     iii.             procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service;
                     iv.             procedures for notifying families of children enrolled at the service of any closure;
                      v.             procedures for reviewing and updating the Emergency Management Plan (EMP).
d.         the Emergency Management Plan (EMP) is reviewed and updated as necessary at least once each calendar year.
e.         by 1 September of each year, a copy of the service’s Emergency Management Plan (EMP) is submitted to the Regulatory Authority through the National Quality Agenda Information Technology System (NQA ITS) public portal.",29,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May-19,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-13,,Yes,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,9:00,14:00,9:00,14:00,9:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003566,PR-00001859,Branxholme Kindergarten,The Combined Preschools of Southern Grampians Inc,Centre-Based Care,McNicol Street,BRANXHOLME,VIC,3302,355190704,,branxholme.kin@kindergarten.vic.gov.au,,21,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-18,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-13,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:30,16:00,,,8:30,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003567,PR-00002082,Ada Mary A'beckett Children's Centre Inc,Ada Mary A'Beckett Children's Centre Inc,Centre-Based Care,7 Cumberland Road,PORT MELBOURNE,VIC,3207,03 9646 1065,03 9646 7115,adamary@bigpond.com,,142,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May-15,,,,,,,,,,,Yes,No,No,No,No,No,No,7:00,18:30,7:00,18:30,7:00,18:30,7:00,18:30,7:00,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003569,PR-40011040,Southport UnitingCare Kindergarten,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,136 Bridge Street,PORT MELBOURNE,VIC,3207,396998368,396451885,ptmelbourne.els@vt.uniting.org,,29,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Aug-16,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Oct-12,1/07/2017,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,9:00,12:00,9:00,12:00,9:00,12:00,9:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003570,PR-00001750,Clark Street Children's Centre,City of Port Phillip,Centre-Based Care,106 Clark Street,PORT MELBOURNE,VIC,3207,392096567,396453994,clarkstcc@portphillip.vic.gov.au,,65,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Jan-15,,Yes,No,No,No,No,No,No,7:30,18:00,7:30,18:00,7:30,18:00,7:30,18:00,7:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003571,PR-00001832,Hornbrook Childrens Centre,Stonnington City Council,Centre-Based Care,47 Earl Street,WINDSOR,VIC,3181,382907171,,ccs@stonnington.vic.gov.au,,52,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,May-20,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jan-14,,Yes,No,No,No,No,No,No,7:30,18:00,7:30,18:00,7:30,18:00,7:30,18:00,7:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003572,PR-00001768,Renown Kindergarten,Renown Kindergarten Inc,Centre-Based Care,20 Cliff Street,SOUTH YARRA,VIC,3141,398274747,398274747,renown.kin@kindergarten.vic.gov.au,,54,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jun-15,,,,,,,,,,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:30,16:30,8:30,15:00,8:30,15:00,8:30,16:00,8:30,16:00,,,,,,,15:00,17:30,15:30,17:30,15:00,17:30,15:00,17:30,,,,,,,,,,,,,,,,,,,No
SE-00003573,PR-00001390,Brookville Kindergarten,Brookville Kindergarten Inc,Centre-Based Care,53 Canterbury Road,TOORAK,VIC,3142,398272091,398272091,director@brookvillekindergarten.com.au,,72,1/01/2012,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Aug-19,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Jan-15,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:45,15:00,8:45,15:00,8:45,15:00,8:45,15:00,,,,,,,8:45,15:00,,,8:45,15:00,8:45,15:00,,,,,,,,,,,,,,,,,,,,,No
SE-00003574,PR-40011011,John Mackenzie Kindergarten,JOHN MACKENZIE KINDERGARTEN INC,Centre-Based Care,603 Toorak Road,TOORAK,VIC,3142,398271855,398263024,mail@jmkinder.com.au,,49,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Dec-19,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jul-14,3/12/2017,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,9:00,15:45,9:00,15:45,9:00,15:45,9:00,15:45,9:00,15:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003576,PR-00001320,Armadale Early Learning Centre,Armadale Early Learning Centre Inc,Centre-Based Care,3 Fulton Street,ARMADALE,VIC,3143,395093187,395093187,administration@armadaleelc.vic.edu.au,The approved provider must ensure that the soil management plan - 24 June 2005 is complied with in every aspect relating to any maintenance or work undertaken in the playground of the education and care service,52,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jan-17,Working Towards NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Working Towards NQS,Exceeding NQS,Meeting NQS,Working Towards NQS,Sep-14,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:45,12:00,8:45,12:00,8:45,12:00,8:45,12:00,8:45,12:00,,,,,12:00,15:45,12:00,15:45,12:00,15:45,12:00,15:45,12:00,15:45,,,,,,,,,,,,,,,,,,,No
SE-00003577,PR-00001821,St Catherines Early Learning Centre,St Catherine's School Council,Centre-Based Care,27 Heyington Place,TOORAK,VIC,3142,398283075,398283058,sbethune@stcatherines.net.au,,108,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jul-16,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Oct-12,,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,8:45,15:00,8:45,15:00,8:45,15:00,8:45,15:00,8:45,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003578,PR-00005750,Headland Montessori Alma Road,YCW Childcare Pty Ltd,Centre-Based Care,76 Alma Road,ST KILDA EAST,VIC,3183,380808041,,almaroad@headlandmontessori.com.au,,60,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-15,,,,,,,,,,15/01/2020,Yes,No,No,No,No,No,No,7:30,18:00,7:30,18:00,7:30,18:00,7:30,18:00,7:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003581,PR-00001832,Princes Close Childcare Centre,Stonnington City Council,Centre-Based Care,17 Princes Street,PRAHRAN,VIC,3181,382903247,382903443,ccs@stonnington.vic.gov.au,,60,1/01/2012,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jan-18,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Dec-13,,Yes,No,No,No,No,No,No,7:30,18:00,7:30,18:00,7:30,18:00,7:30,18:00,7:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003582,PR-40009341,EXPLORERS EARLY LEARNING - ARMADALE,SLK TRADING ARMADALE PTY LTD,Centre-Based Care,117 Kooyong Road,ARMADALE,VIC,3143,392483030,,alicia.holmes@eel.com.au,,116,1/01/2012,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Jan-18,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Apr-13,25/01/2017,Yes,No,No,No,No,No,No,7:00,18:30,7:00,18:30,7:00,18:30,7:00,18:30,7:00,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003583,PR-00001532,Geelong Grammar School Toorak Campus,Geelong Grammar School,Centre-Based Care,14 Douglas Street,TOORAK,VIC,3142,03 9829 1410,03 9826 2829,scarter@ggs.vic.edu.au,,111,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Dec-17,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jul-13,,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,8:30,15:00,8:30,15:00,8:30,15:00,8:30,15:00,8:30,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003585,PR-00002113,Blake Street Kindergarten,Northern Darebin Combined Kindergarten Association Inc.,Centre-Based Care,109 Blake Street,RESERVOIR,VIC,3073,394788037,394788037,blake.st.kin@kindergarten.vic.gov.au,,27,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-17,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,May-15,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,9:15,14:15,9:15,14:15,9:15,14:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003586,PR-40011040,Merrilands Children's Centre & Kindergarten - BUC,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,23-25 Ryan Street,RESERVOIR,VIC,3073,394604674,394625343,merrilands.els@vt.uniting.org,,66,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Aug-15,1/07/2017,Yes,No,No,No,No,No,No,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,,,8:30,16:00,,,8:30,16:00,,,,,,,,,,,8:30,16:00,,,8:30,16:00,,,,,,,,,,,,,,,,,,,No
SE-00003588,PR-00001619,La Trobe University Community Children's Centre,La Trobe University,Centre-Based Care,Kingsbury Drive,LA TROBE UNIVERSITY,VIC,3086,394792122,394793623,k.capes@latrobe.edu.au,,187,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Aug-18,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Jun-14,,Yes,No,No,No,No,No,No,7:30,18:15,7:30,18:15,7:30,18:15,7:30,18:15,7:30,18:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003589,PR-00002113,Gellibrand Crescent Kindergarten,Northern Darebin Combined Kindergarten Association Inc.,Centre-Based Care,26 Gellibrand Crescent,RESERVOIR,VIC,3073,394605862,394605860,gellibrand.cres.kin@kindergarten.vic.gov.au,,30,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-17,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jul-13,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,9:15,14:15,9:15,14:15,9:15,14:15,9:15,14:15,8:30,12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003590,PR-00002063,Gower Street Kindergarten,Gower Street Kindergarten Inc,Centre-Based Care,146 Gower Street,PRESTON,VIC,3072,394785374,,gower.st.kin@kindergarten.vic.gov.au,,29,1/01/2012,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Working Towards NQS,Jul-17,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Exceeding NQS,Meeting NQS,Working Towards NQS,May-14,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:30,16:00,9:30,13:30,8:30,16:00,8:30,16:00,8:30,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003591,PR-00002113,Maryborough Avenue Kindergarten,Northern Darebin Combined Kindergarten Association Inc.,Centre-Based Care,14 Maryborough Avenue,KINGSBURY,VIC,3083,394605882,394625862,maryborough.ave.kin@kindergarten.vic.gov.au,,28,1/01/2012,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Feb-17,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jul-13,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:30,13:30,8:30,13:30,8:30,13:30,8:30,13:30,8:45,12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003593,PR-40011040,Kookaburra Kindergarten - BUC,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,34 George Street,RESERVOIR,VIC,3073,394605708,394625708,kookaburra.els@vt.uniting.org,,30,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Nov-16,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Working Towards NQS,Working Towards NQS,Dec-12,1/07/2017,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,9:15,14:15,9:15,14:15,,,9:15,14:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003594,PR-00002350,Dewdrops Early Learning,Arkoudaki Enterprises Pty Ltd (ATF the M & D Moses Family Trust),Centre-Based Care,89 Delaware Street,RESERVOIR,VIC,3073,394783615,,reservoir@dewdropsearlylearning.com.au,,45,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-20,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May-15,,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003595,PR-00002062,Darebin Childcare and Kindergarten Inc - Reservoir,Darebin Childcare and Kindergarten Inc,Centre-Based Care,6-8 Kenilworth Street,RESERVOIR,VIC,3073,394692226,,yvonne@dccandk.org.au,The educator to child ratio for children aged 36 months of age to preschool age will be at least one educator to 12.5 children.,86,1/01/2012,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Nov-15,,,,,,,,,,,Yes,No,No,No,No,No,No,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003596,PR-00001652,Edwardes Street Child Minding,Manes Care Pty Ltd,Centre-Based Care,41 Edwardes Street,RESERVOIR,VIC,3073,03 9469 4640,03 9469 4640,nevenas@y7mail.com,,50,1/01/2012,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Apr-17,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-13,,Yes,No,No,No,No,No,No,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003597,PR-00002062,Darebin Childcare and Kindergarten Inc - Preston,Darebin Childcare and Kindergarten Inc,Centre-Based Care,260 Gower Street,PRESTON,VIC,3072,394713780,,yvonne@dccandk.org.au,,61,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Oct-19,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May-14,,Yes,No,No,No,No,No,No,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003598,PR-00001707,Nara Community Early Learning Centre,Nara Community Child Care Centre Inc,Centre-Based Care,77-99 Rear St Georges Road,PRESTON,VIC,3072,03 9471 9914,03 9471 9916,nara.community.cc@kindergarten.vic.gov.au,,68,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Apr-17,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Oct-12,,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00003599,PR-00002064,J S Grey Reserve Kindergarten,J S Grey Kindergarten Association Inc,Centre-Based Care,121 Regent Street,PRESTON WEST,VIC,3072,394705836,,j.s.grey.cm@kindergarten.vic.gov.au,,54,1/01/2012,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May-19,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Apr-15,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:30,13:30,8:30,16:00,8:30,13:30,8:30,16:00,8:30,13:30,,,,,8:30,14:30,8:50,14:50,8:30,14:30,9:15,15:45,9:15,12:15,,,,,,,,,,,,,,,,,,,No
